code;officialTitle;mediumTitle;shortTitle
SK0101528595;Bratislava - mestská časť Staré Mesto;Bratislava-Staré Mesto;Bratislava-Staré Mesto
SK0102529311;Bratislava - mestská časť Podunajské Biskupice;Bratislava-Podunajské Biskupice;Bratislava-Pod.Biskup.
SK0102529320;Bratislava - mestská časť Ružinov;Bratislava-Ružinov;Bratislava-Ružinov
SK0102529338;Bratislava - mestská časť Vrakuňa;Bratislava-Vrakuňa;Bratislava-Vrakuňa
SK0103529346;Bratislava - mestská časť Nové Mesto;Bratislava-Nové Mesto;Bratislava-Nové Mesto
SK0103529354;Bratislava - mestská časť Rača;Bratislava-Rača;Bratislava-Rača
SK0103529362;Bratislava - mestská časť Vajnory;Bratislava-Vajnory;Bratislava-Vajnory
SK0104529371;Bratislava - mestská časť Devínska Nová Ves;Bratislava-Devínska Nová Ves;Bratislava-Dev.Nová Ves
SK0104529389;Bratislava - mestská časť Dúbravka;Bratislava-Dúbravka;Bratislava-Dúbravka
SK0104529397;Bratislava - mestská časť Karlova Ves;Bratislava-Karlova Ves;Bratislava-Karlova Ves
SK0104529401;Bratislava - mestská časť Devín;Bratislava-Devín;Bratislava-Devín
SK0104529419;Bratislava - mestská časť Lamač;Bratislava-Lamač;Bratislava-Lamač
SK0104529427;Bratislava - mestská časť Záhorská Bystrica;Bratislava-Záhorská Bystrica;Bratislava-Záhor.Bystr.
SK0105529435;Bratislava - mestská časť Čunovo;Bratislava-Čunovo;Bratislava-Čunovo
SK0105529443;Bratislava - mestská časť Jarovce;Bratislava-Jarovce;Bratislava-Jarovce
SK0105529460;Bratislava - mestská časť Petržalka;Bratislava-Petržalka;Bratislava-Petržalka
SK0105529494;Bratislava - mestská časť Rusovce;Bratislava-Rusovce;Bratislava-Rusovce
SK0106500267;Záhorie (vojenský obvod);Záhorie;Záhorie (voj.obvod)
SK0106504556;Malé Leváre;Malé Leváre;Malé Leváre
SK0106504629;Plavecké Podhradie;Plavecké Podhradie;Plavecké Podhradie
SK0106504637;Plavecký Mikuláš;Plavecký Mikuláš;Plavecký Mikuláš
SK0106504769;Rohožník;Rohožník;Rohožník
SK0106504858;Sološnica;Sološnica;Sološnica
SK0106504874;Studienka;Studienka;Studienka
SK0106504947;Veľké Leváre;Veľké Leváre;Veľké Leváre
SK0106504980;Závod;Závod;Závod
SK0106507831;Borinka;Borinka;Borinka
SK0106507890;Gajary;Gajary;Gajary
SK0106507954;Jablonové;Jablonové;Jablonové
SK0106507962;Jakubov;Jakubov;Jakubov
SK0106508012;Kostolište;Kostolište;Kostolište
SK0106508021;Kuchyňa;Kuchyňa;Kuchyňa
SK0106508039;Láb;Láb;Láb
SK0106508055;Lozorno;Lozorno;Lozorno
SK0106508063;Malacky;Malacky;Malacky
SK0106508080;Marianka;Marianka;Marianka
SK0106508161;Pernek;Pernek;Pernek
SK0106508195;Plavecký Štvrtok;Plavecký Štvrtok;Plavecký Štvrtok
SK0106508233;Stupava;Stupava;Stupava
SK0106508241;Suchohrad;Suchohrad;Suchohrad
SK0106508349;Vysoká pri Morave;Vysoká pri Morave;Vysoká pri Morave
SK0106508365;Záhorská Ves;Záhorská Ves;Záhorská Ves
SK0106508381;Zohor;Zohor;Zohor
SK0107507806;Báhoň;Báhoň;Báhoň
SK0107507849;Budmerice;Budmerice;Budmerice
SK0107507857;Častá;Častá;Častá
SK0107507873;Doľany;Doľany;Doľany
SK0107507881;Dubová;Dubová;Dubová
SK0107507946;Jablonec;Jablonec;Jablonec
SK0107507989;Svätý Jur;Svätý Jur;Svätý Jur
SK0107508047;Limbach;Limbach;Limbach
SK0107508101;Modra;Modra;Modra
SK0107508179;Pezinok;Pezinok;Pezinok
SK0107508187;Píla;Píla;Píla
SK0107508225;Slovenský Grob;Slovenský Grob;Slovenský Grob
SK0107508250;Šenkvice;Šenkvice;Šenkvice
SK0107508268;Štefanová;Štefanová;Štefanová
